title,url,release_date,critic_score,audience_score,average_rating,release_date_clean,release_date_parsed
The Equalizer 3,https://www.rottentomatoes.com/m/the_equalizer_3,"Released Sep 1, 2023",76.0,94.0,85.0,"Sep 1, 2023",2023-09-01
Aristotle and Dante Discover the Secrets of the Universe,https://www.rottentomatoes.com/m/aristotle_and_dante_discover_the_secrets_of_the_universe,"Released Sep 8, 2023",88.0,95.0,91.5,"Sep 8, 2023",2023-09-08
Flora and Son,https://www.rottentomatoes.com/m/flora_and_son,"Released Sep 22, 2023",93.0,83.0,88.0,"Sep 22, 2023",2023-09-22
Miranda's Victim,https://www.rottentomatoes.com/m/mirandas_victim,"Released Oct 6, 2023",82.0,91.0,86.5,"Oct 6, 2023",2023-10-06
Killers of the Flower Moon,https://www.rottentomatoes.com/m/killers_of_the_flower_moon,"Released Oct 20, 2023",93.0,84.0,88.5,"Oct 20, 2023",2023-10-20
Nyad,https://www.rottentomatoes.com/m/nyad,"Released Oct 20, 2023",85.0,87.0,86.0,"Oct 20, 2023",2023-10-20
The Persian Version,https://www.rottentomatoes.com/m/the_persian_version,"Released Oct 20, 2023",84.0,93.0,88.5,"Oct 20, 2023",2023-10-20
The Holdovers,https://www.rottentomatoes.com/m/the_holdovers,"Released Nov 10, 2023",97.0,92.0,94.5,"Nov 10, 2023",2023-11-10
At the Gates,https://www.rottentomatoes.com/m/at_the_gates,"Released Nov 3, 2023",70.0,100.0,85.0,"Nov 3, 2023",2023-11-03
Waitress: The Musical,https://www.rottentomatoes.com/m/waitress_the_musical,"Released Dec 7, 2023",100.0,98.0,99.0,"Dec 7, 2023",2023-12-07
Poor Things,https://www.rottentomatoes.com/m/poor_things,"Released Dec 8, 2023",92.0,79.0,85.5,"Dec 8, 2023",2023-12-08
Wonka,https://www.rottentomatoes.com/m/wonka,"Released Dec 15, 2023",82.0,91.0,86.5,"Dec 15, 2023",2023-12-15
The Zone of Interest,https://www.rottentomatoes.com/m/the_zone_of_interest,"Released Dec 15, 2023",93.0,78.0,85.5,"Dec 15, 2023",2023-12-15
The Color Purple,https://www.rottentomatoes.com/m/the_color_purple,"Released Dec 25, 2023",82.0,95.0,88.5,"Dec 25, 2023",2023-12-25
